state,year,veterans,veteran_pct
South Carolina,2016,406377,10.351357278824647
South Carolina,2017,410064,10.285810606075808
South Carolina,2018,405702,10.025472531773945
South Carolina,2019,399078,9.718264379611316
South Carolina,2020,396873,9.734714061032887
South Carolina,2021,390315,9.43614720210735
South Carolina,2022,398079,9.445800525775155
South Carolina,2023,390389,9.082643449435773
South Dakota,2014,73180,11.244362837365458
South Dakota,2015,69609,10.641723002412423
South Dakota,2016,69562,10.52230328351165
South Dakota,2017,69076,10.324582538667114
South Dakota,2018,69214,10.271730258373774
South Dakota,2019,67124,9.86398156638687
South Dakota,2020,67966,9.990665814095356
South Dakota,2021,66959,9.723932616903863
South Dakota,2022,63201,9.019282692955366
South Dakota,2023,64099,9.02768486268832
Tennessee,2014,524213,10.2135379211543
Tennessee,2015,509469,9.835086736457884
Tennessee,2016,491245,9.3867185895225
Tennessee,2017,493393,9.317923603273671
Tennessee,2018,475751,8.884345209727996
Tennessee,2019,466673,8.6344718716777
Tennessee,2020,455827,8.347984478576729
Tennessee,2021,445362,8.10023909930169
Tennessee,2022,443687,7.958329917865548
Tennessee,2023,434646,7.694077886416557
Texas,2014,1670110,8.266156264311697
Texas,2015,1641357,7.961067063149252
Texas,2016,1648077,7.850883811967161
Texas,2017,1619499,7.589578047786862
Texas,2018,1612254,7.444929248065628
Texas,2019,1585810,7.211330111401569
Texas,2020,1584987,7.140702364344239
Texas,2021,1555332,6.902100075951271
Texas,2022,1560824,6.801222004978829
Texas,2023,1538426,6.578117286054242
Utah,2014,149168,7.171769475266752
Utah,2015,142102,6.70563208540807
Utah,2016,142647,6.56999762342091
Utah,2017,145299,6.527927411463533
Utah,2018,137603,6.046987053313839
Utah,2019,137178,5.901316910242578
Utah,2020,134905,5.647999095683774
Utah,2021,130590,5.337807734282713
Utah,2022,132594,5.314128928365026
Utah,2023,129785,5.10571587616618
Vermont,2014,48921,9.556375996249415
Vermont,2015,46620,9.0803382046173
Vermont,2016,45302,8.817461306094485
Vermont,2017,46681,9.056973506785795
Vermont,2018,43413,8.407229601628268
Vermont,2019,42913,8.305447226066171
Vermont,2020,41042,7.718070952394385
Vermont,2021,39404,7.335794484563816
Vermont,2022,38442,7.141729196894513
Vermont,2023,38592,7.144033957856271
Virginia,2014,770356,11.754608232876606
Virginia,2015,759988,11.509298751584826
Virginia,2016,753414,11.328140388144737
Virginia,2017,743618,11.089391514941832
Virginia,2018,752859,11.15763714348341
Virginia,2019,743057,10.93857877689867
Virginia,2020,715644,10.4654223582429
Virginia,2021,696956,10.141623545068976
Virginia,2022,693939,10.055786991015074
Virginia,2023,685503,9.869072319899937
Washington,2014,599824,10.818438585543047
Washington,2015,603182,10.690826670863721
Washington,2016,594818,10.334229588081874
Washington,2017,577913,9.847150243617344
Washington,2018,573669,9.624164215199016
Washington,2019,565770,9.363250322344253
Washington,2020,551603,9.012007667026753
Washington,2021,534577,8.686887760126282
Washington,2022,519941,8.36872740991974
Washington,2023,509859,8.143860346880638
West Virginia,2014,151761,10.173285246956615
West Virginia,2015,152054,10.22667582256831
West Virginia,2016,151429,10.233652944213619
West Virginia,2017,142432,9.681921103273508
West Virginia,2018,141043,9.646129183160394
West Virginia,2019,138555,9.516296971928108
West Virginia,2020,135380,9.330432247539717
West Virginia,2021,131609,9.085863129037358
West Virginia,2022,129663,9.0007996823484
West Virginia,2023,123919,8.607990797322277
Wisconsin,2014,419383,9.26646565678572
Wisconsin,2015,401861,8.846894898639396
Wisconsin,2016,388678,8.520928976327927
Wisconsin,2017,379640,8.278897033889526
Wisconsin,2018,377600,8.193560720555965
Wisconsin,2019,363593,7.852095292928097
Wisconsin,2020,353229,7.543166776573172
Wisconsin,2021,343610,7.339247706284849
Wisconsin,2022,337254,7.165181772503662
Wisconsin,2023,327195,6.903701596864085
Wyoming,2014,49607,10.976117038459666
Wyoming,2015,49526,10.90926712791945
Wyoming,2016,49320,10.875293546928921
Wyoming,2017,48163,10.677026757409829
Wyoming,2018,49779,11.023833040273896
Wyoming,2019,47053,10.370104267450087
Wyoming,2020,48207,10.680340835072514
Wyoming,2021,47187,10.376196779854078
Wyoming,2022,44874,9.78745215219691
Wyoming,2023,45445,9.822462953676967
