state,chr_release_year,unemployment_rate,pct_frequent_mental_distress,income_inequality,social_associations,pct_uninsured,drug_overdose_deaths,pct_excessive_drinking,pct_adult_smoking
Pennsylvania,2019,4.9124246000000005,13.024010489999998,4.8158693515,12.320651065,6.75858643,34.587694444,20.52110826,17.95561317
Pennsylvania,2020,4.29280441,13.6148709,4.776893893,12.252512331,6.612149069999999,37.581233281,19.20689358,18.7494183
Pennsylvania,2021,4.3751294000000005,15.00854388,4.7870038941,12.202644479,6.7113266099999995,36.913062137,20.20207377,17.91559754
Pennsylvania,2022,9.07863442,14.57331993,4.7484338813,12.225444031,6.97068398,36.361455055,19.78748533,17.82384041
Pennsylvania,2023,6.3493081899999995,15.19959582,4.7801846463,12.050922246,7.715919540000001,36.361455055,20.69846252,16.7
Rhode Island,2019,4.46960109,14.05309115,5.3357086302,9.9107746307,5.09324972,30.1352651,17.42316951,14.430399990000002
Rhode Island,2020,4.07263672,14.95602367,5.3119949228,10.069467054,5.44253894,30.346192388,19.6438006,14.94989093
Rhode Island,2021,3.56148997,12.51095387,5.1737022021,10.101057868,4.79116237,29.719974247,19.67131,15.21133401
Rhode Island,2022,9.38487668,14.09185154,5.0005212988,10.034350896,4.97756528,32.169628783,21.67898746,13.84640207
Rhode Island,2023,5.61508704,13.86227491,4.9715676319,9.9231405936,4.57840707,32.169628783,18.26549549,14.099999999999998
South Carolina,2019,4.2702867499999995,14.020901660000002,4.7628850784,11.696957884,12.11417231,17.793744961,18.47273192,20.0130001
South Carolina,2020,3.42435092,14.191864979999998,4.7598096943,11.675097908,13.11660778,19.987239223,17.351867560000002,18.78839288
South Carolina,2021,2.8495348600000003,15.33832242,4.7771599078,11.573275019,12.70179475,21.366947168,17.83781033,18.65684254
South Carolina,2022,6.172494700000001,13.60765834,4.8005529226,11.484421158,13.2354685,25.830242301,21.68749333,18.40849429
South Carolina,2023,3.99916426,15.64983075,4.7788714992,11.220688228,12.80493208,25.830242301,18.98393769,19.1
South Dakota,2019,3.32899807,8.59405232,4.1522081365,16.430682624,10.36114962,7.9812183041,20.18982465,18.10811899
South Dakota,2020,3.01657156,9.94001785,4.1037567792,16.684566259,10.7643725,7.6030954914,18.97709024,19.27891245
South Dakota,2021,3.29394422,9.49229426,4.1110813295,16.310846883,11.2250261,8.1924932488,24.31276697,20.19454114
South Dakota,2022,4.64364273,11.11312035,4.073751989,16.130509044,12.04849628,8.4974832786,24.38099554,18.9920849
South Dakota,2023,3.09905259,9.72258908,4.0756176604,15.682461519,11.55653645,8.4974832786,20.98861651,19.0
Tennessee,2019,3.70642118,14.01355669,4.7408691406,11.283688312,10.63826248,24.35460424,14.44362912,22.08780772
Tennessee,2020,3.4905551100000003,14.04846379,4.7670801616,11.341599384,11.28714206,25.966882764,14.27063221,22.63907647
Tennessee,2021,3.3889331,16.35858404,4.7210091538,11.267339339,11.99300333,27.998783963,17.125754960000002,20.78075469
Tennessee,2022,7.46427419,16.29003384,4.6565062465,11.13751092,12.08406839,33.906052411,17.24408951,20.69903378
Tennessee,2023,4.28816193,16.70845698,4.6336095912,11.054426461,12.19665155,33.906052411,17.01885095,19.7
Texas,2019,4.267856839999999,10.57677968,4.8791895633,7.6288655946,18.56366524,10.053050406,19.40866264,14.26313587
Texas,2020,3.8552734,11.87767945,4.8377470198,7.6238502044,19.39113335,10.398374144,19.52038161,15.70960286
Texas,2021,3.5138217399999996,11.60684795,4.8229355323,7.5228613352,19.91812255,10.615992438,18.97290398,14.240501920000002
Texas,2022,7.6376157,12.05923815,4.813638574,7.5196887448,20.74835185,11.846059577,19.64313976,14.65468862
Texas,2023,5.6778191399999995,13.32249102,4.8059807508,7.391498292,19.87407035,11.846059577,18.59720555,13.3
Utah,2019,3.24438607,11.10723626,3.7927238381,3.4183081701,9.65785596,21.106203333,13.39648046,8.78225641
Utah,2020,3.1153773499999997,11.30553826,3.7842838485,3.4560210044,10.04553231,20.495686404,12.21675711,8.88010672
Utah,2021,2.60683936,11.90546253,3.7636573594,3.4987765354,10.41324157,19.484848075,11.09788185,9.11234764
Utah,2022,4.68305534,13.63921293,3.7101424743,3.493495548,10.66837564,18.893739819,11.90924484,7.90073637
Utah,2023,2.69664792,14.57032264,3.727398169,3.4955147561,9.72449334,18.893739819,11.83782352,8.3
Vermont,2019,3.01251298,12.31511475,4.4585095463,13.752933906,4.69423271,19.100535509,20.64737355,17.01971824
Vermont,2020,2.66513707,13.61158169,4.4282114877,13.404804243,5.51817235,21.978608199,19.47666228,15.813840940000002
Vermont,2021,2.38350568,12.64496751,4.4877308859,13.380190612,4.85567366,22.412610829,20.45403424,14.69127405
Vermont,2022,5.57868266,14.81366358,4.4797839677,13.141257298,5.6759154999999994,25.405161624,23.16219359,16.19109484
Vermont,2023,3.43495402,15.45400511,4.4474390748,13.138749364,4.92864875,25.405161624,22.12121826,14.4
Virginia,2019,3.75190528,11.02056264,4.7926455211,11.218753448,9.93977214,15.638345508,17.35946048,15.29677425
Virginia,2020,2.9686816,11.78015147,4.7988086023,11.380138418,10.15545027,17.165683452,17.3998391,16.37718314
Virginia,2021,2.79038533,12.47829992,4.7942281531,11.270668028,10.10131032,17.638837476,17.68070578,15.10509377
